"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Environmental_Context:2          search:pressure_conditions:2            Value:Earth_Like","Value","Earth_Like","","","Similar to Earth's atmospheric pressure"
"search:Environmental_Context:2          search:pressure_conditions:2            Value:Extreme","Value","Extreme","","","Very high pressure like Venus surface or gas giant interiors"
"search:Environmental_Context:2          search:pressure_conditions:2            Value:High","Value","High","","","Higher than Earth's atmospheric pressure"
"search:Environmental_Context:2          search:pressure_conditions:2            Value:Other","Value","Other","","","Any pressure condition not covered by other values"
"search:Environmental_Context:2          search:pressure_conditions:2            Value:Vacuum","Value","Vacuum","","","Essentially no atmospheric pressure"
"search:Environmental_Context:2          search:pressure_conditions:2            Value:Variable","Value","Variable","","","Significant pressure variations or gradients"
"search:Environmental_Context:2          search:pressure_conditions:2            Value:Very_Low","Value","Very_Low","","","Minimal atmospheric pressure like Mars"
"search:Environmental_Context:2          search:radiation_environment:1         ","Attribute","radiation_environment","n/a","search","Radiation conditions at the study location.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Environmental_Context:2          search:radiation_environment:2          Value:Extreme","Value","Extreme","","","Very high radiation levels"
"search:Environmental_Context:2          search:radiation_environment:2          Value:High","Value","High","","","Significant radiation like Jupiter radiation belts"
"search:Environmental_Context:2          search:radiation_environment:2          Value:Low","Value","Low","","","Minimal radiation exposure like Earth surface"
"search:Environmental_Context:2          search:radiation_environment:2          Value:Moderate","Value","Moderate","","","Similar to Earth orbit or Mars surface"
"search:Environmental_Context:2          search:radiation_environment:2          Value:Other","Value","Other","","","Any radiation environment not covered by other values"
"search:Environmental_Context:2          search:radiation_environment:2          Value:Shielded","Value","Shielded","","","Protected or shielded from external radiation"
"search:Environmental_Context:2          search:atmospheric_presence:1          ","Attribute","atmospheric_presence","n/a","search","Presence and nature of atmosphere at the study location.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Environmental_Context:2          search:atmospheric_presence:2           Value:Earth_Like","Value","Earth_Like","","","Similar to Earth's atmosphere"
"search:Environmental_Context:2          search:atmospheric_presence:2           Value:Gas_Giant","Value","Gas_Giant","","","Massive, deep atmosphere of a gas giant"
"search:Environmental_Context:2          search:atmospheric_presence:2           Value:None","Value","None","","","No significant atmosphere"
"search:Environmental_Context:2          search:atmospheric_presence:2           Value:Other","Value","Other","","","Any atmospheric presence not covered by other values"
